mso:tv.crew_gig	mso:tv.crew_gig.series	mso:tv.program
mso:commerce.cooktop	productsearch:commerce.cooktop.cooking_bay_style	mso:type.string
mso:education.scholarship_fellowship	mso:education.scholarship_fellowship.type	mso:type.text
mso:skiing.lift_type_breakdown	mso:skiing.lift_type_breakdown.number	mso:type.decimal
mso:organization.organization_predecessor_relationship	mso:organization.organization_predecessor_relationship.percentage_share	mso:type.decimal
mso:music.artist	mso:music.artist.active_end	mso:type.datetime
mso:skiing.ski_area	mso:skiing.ski_area.owner	mso:skiing.ski_area_ownership
mso:visual_art.artwork_owner_relationship	mso:visual_art.artwork_owner_relationship.purchase_price	mso:type.decimal
mso:medicine.disease	mso:medicine.disease.cause_free_text	mso:type.text
mso:music.music_video	mso:music.music_video.music_video_genre	mso:music.music_video_genre
mso:transportation.marine_terminal	mso:transportation.marine_terminal.berth_length_total	mso:type.decimal
mso:statistics.population_group	mso:statistics.population_group.male_population_21_to_62	mso:measurement_unit.dated_integer
mso:statistics.infrastructure_group	mso:statistics.infrastructure_group.percentage_paved_roads	mso:measurement_unit.dated_percentage
mso:education.university	mso:education.university.acceptance_rate	mso:education.acceptance_rate
mso:book.journal	mso:book.journal.articles	mso:book.journal_publication
mso:military.conflict	mso:military.conflict.force_strengths	mso:military.force_strength
mso:media_common.creative_work	mso:media_common.creative_work.contributor	mso:people.person
mso:music.conducted_ensemble	mso:music.conducted_ensemble.conductors	mso:music.conducting_tenure
mso:organization.committee_membership	mso:organization.committee_membership.committee	mso:organization.committee
mso:distilled_spirits.spirit_bottler	mso:distilled_spirits.spirit_bottler.spirits_bottled	mso:distilled_spirits.distilled_spirit
mso:music.composition	mso:music.composition.composer	mso:music.composer
mso:commerce.camera	mso:commerce.camera.iso_speed	mso:type.decimal
mso:local.entity	mso:local.entity.general_manager	mso:people.person
mso:geography.mountain_range	mso:geography.mountain_range.mountain_pass	mso:geography.mountain_pass
mso:location.location	mso:location.location.contained_by	mso:location.location
mso:rail.locomotive_class	mso:rail.locomotive_class.brakes	mso:rail.locomotive_brakes
mso:internet.author_related_topic	mso:internet.author_related_topic.article_count	mso:type.decimal
mso:measurement_unit.catalytic_concentration_unit	mso:measurement_unit.catalytic_concentration_unit.concentration_in_katals_per_cubic_meter	mso:type.decimal
mso:medicine.medical_license	mso:medicine.medical_license.license_state	mso:type.text
mso:travel.destination_monthly_climate	mso:travel.destination_monthly_climate.month	mso:time.month
mso:statistics.population_by_demographics	mso:statistics.population_by_demographics.population_type	mso:common.demographic_type
mso:rail.locomotive_builder	mso:rail.locomotive_builder.locomotive_classes_built	mso:rail.locomotive_class
mso:real_estate.house	mso:real_estate.house.open_house	dev:local.operating_hour
mso:time.holiday_category	mso:time.holiday_category.holidays	mso:time.holiday
mso:visual_art.artwork_owner_relationship	mso:visual_art.artwork_owner_relationship.owner	mso:visual_art.art_owner
mso:location.location	mso:location.location.county	mso:location.us_county
mso:sports.tournament_event_competition	mso:sports.tournament_event_competition.number_competitors	mso:type.decimal
mso:tv.program	mso:tv.program.number_of_seasons	mso:type.decimal
mso:tv.program	mso:tv.program.rating	mso:tv.rating
mso:games.lottery_game	mso:games.lottery_game.drawing_days	mso:time.day_of_week
mso:tv.actor	mso:tv.actor.segment_performance	mso:tv.segment_performance
mso:music.group	mso:music.group.member	mso:music.group_membership
mso:spaceflight.rocket_stage	mso:spaceflight.rocket_stage.number_of_engines	mso:type.decimal
mso:tv.non_character_role	mso:tv.non_character_role.tv_guest_personal_appearances	mso:tv.guest_personal_appearance
mso:tv.program	mso:tv.program.series_episode	mso:tv.series_episode
mso:tv.series_episode	mso:tv.series_episode.guest_stars	mso:tv.guest_role
mso:biology.plant_disease_triangle	mso:biology.plant_disease_triangle.source_s	mso:biology.plant_disease_documentation
mso:olympics.host_city	mso:olympics.host_city.olympics_hosted	mso:olympics.games
mso:visual_art.artwork_location_relationship	mso:visual_art.artwork_location_relationship.artwork	mso:visual_art.artwork
mso:skiing.ski_run	mso:skiing.ski_run.date_opened	mso:type.datetime
mso:organization.organization	mso:organization.organization.membership_number	mso:measurement_unit.dated_integer
mso:medicine.drug_formulation	mso:medicine.drug_formulation.route	mso:medicine.drug_administration_route
mso:sports.sports_team_coach	mso:sports.sports_team_coach.teams_coached	mso:sports.sports_team_coach_tenure
mso:commerce.vacuum_cleaner	productsearch:commerce.vacuum_cleaner.filter_type	mso:type.string
mso:commerce.water_heater	productsearch:commerce.water_heater.maximum_temperature	mso:type.string
mso:location.census_district	mso:location.census_district.total_other_address	mso:measurement_unit.dated_float
mso:travel.guidebook	mso:travel.guidebook.travel_destinations_covered	mso:travel.destination
mso:event.presented_work	mso:event.presented_work.performances	mso:event.speech_or_presentation
mso:people.sexual_orientation_phase	mso:people.sexual_orientation_phase.end_date	mso:type.datetime
mso:language.linguistic_unit	mso:language.linguistic_unit.pronunciation_audio	mso:type.uri
mso:royalty.noble_rank	mso:royalty.noble_rank.noble_title	mso:royalty.noble_title
mso:venture_capital.venture_investment	mso:venture_capital.venture_investment.amount	mso:type.decimal
mso:real_estate.house	mso:real_estate.house.nearby_home	mso:real_estate.house
mso:medicine.drug_formulation	mso:medicine.drug_formulation.legal_status	mso:medicine.drug_legal_status
mso:measurement_unit.dated_money_value	mso:measurement_unit.dated_money_value.amount	mso:type.decimal
mso:spaceflight.satellite	mso:spaceflight.satellite.launch_date	mso:type.datetime
mso:commerce.humidifier	productsearch:commerce.humidifier.humidifier_type	mso:type.string
mso:military.casualties	mso:military.casualties.upper_estimate	mso:type.decimal
mso:type.type	mso:type.type.domain	mso:type.domain
mso:cricket.team_stats	mso:cricket.team_stats.odi_team	mso:cricket.team
mso:meteorology.weather_forecast	mso:meteorology.weather_forecast.precipitation_chance	mso:type.decimal
mso:protected_sites.natural_or_cultural_site_designation	mso:protected_sites.natural_or_cultural_site_designation.natural_or_cultural_preservation_agency	mso:protected_sites.natural_or_cultural_preservation_agency
mso:statistics.housing_group	mso:statistics.housing_group.vacant_residential_addresses_90_days	mso:measurement_unit.dated_float
mso:measurement_unit.angle_unit	mso:measurement_unit.angle_unit.angle_in_radians	mso:type.decimal
mso:theater.role	mso:theater.role.to	mso:type.datetime
mso:travel.travel	mso:travel.travel.trip_length	mso:type.decimal
mso:statistics.health_group	mso:statistics.health_group.diabetes_rate	mso:measurement_unit.dated_float
mso:statistics.population_group	mso:statistics.population_group.male_population_under_21	mso:measurement_unit.dated_integer
mso:statistics.health_group	mso:statistics.health_group.adolescent_fertility_rate_per_thousand	mso:measurement_unit.dated_integer
mso:sports.team_season_record	mso:sports.team_season_record.losing_run	mso:type.decimal
mso:royalty.chivalric_order_officer	mso:royalty.chivalric_order_officer.offices_held	mso:royalty.chivalric_order_position_tenure
mso:statistics.count_of_type	mso:statistics.count_of_type.region	mso:location.location
mso:symbols.armorial_grant	mso:symbols.armorial_grant.armiger	mso:symbols.coat_of_arms_bearer
mso:rail.locomotive	mso:rail.locomotive.last_run_date	mso:type.datetime
mso:commerce.juicer	productsearch:commerce.juicer.settings	mso:type.string
mso:statistics.energy_production_type	mso:statistics.energy_production_type.date	mso:type.datetime
mso:protected_sites.natural_or_cultural_site_listing	mso:protected_sites.natural_or_cultural_site_listing.site_listing_category	mso:protected_sites.site_listing_category
mso:sports.golf_club	productsearch:sports.golf_club.loft_degree	mso:type.string
mso:measurement_unit.energy_unit	mso:measurement_unit.energy_unit.energy_in_joules	mso:type.decimal
mso:skiing.ski_area_run_difficulty	mso:skiing.ski_area_run_difficulty.number	mso:type.decimal
mso:cvg.platform	productsearch:cvg.platform.physical_controller_ports	mso:type.string
mso:statistics.education_group	mso:statistics.education_group.female_persistance_to_last_primary_grade	mso:measurement_unit.dated_percentage
mso:law.attorney	mso:law.attorney.experience	mso:type.text
mso:measurement_unit.charge_unit	mso:measurement_unit.charge_unit.measurement_system	mso:measurement_unit.measurement_system
mso:tv.segment_performance	mso:tv.segment_performance.character	mso:tv.character
mso:book.periodical_publisher_period	mso:book.periodical_publisher_period.publisher	mso:book.periodical_publisher
mso:medicine.physician	mso:medicine.physician.total_experience_year	mso:type.decimal
mso:commerce.air_conditioner	productsearch:commerce.air_conditioner.energy_efficiency_ratio	mso:type.string
mso:skiing.lift_tenure	mso:skiing.lift_tenure.date_removed	mso:type.datetime
mso:sports.multi_event_tournament	mso:sports.multi_event_tournament.competitor_competition_relationship	mso:sports.competitor_competition_relationship
mso:measurement_unit.measurement_system	mso:measurement_unit.measurement_system.resistance_units	mso:measurement_unit.resistance_unit
mso:music.track	mso:music.track.primary_release	mso:music.release_track
mso:tv.program	mso:tv.program.review	mso:ratings.review
mso:theater.role	mso:theater.role.actor	mso:theater.actor
mso:rail.railway_operator	mso:rail.railway_operator.locomotive_classes	mso:rail.locomotive_class_operator_relationship
mso:tv.writer	mso:tv.writer.episodes_written	mso:tv.series_episode
mso:medicine.cancer_center_constituent	mso:medicine.cancer_center_constituent.cancer_center	mso:medicine.cancer_center
mso:meteorology.weather_forecast	mso:meteorology.weather_forecast.sunset	mso:type.datetime
mso:radio.radio_program	mso:radio.radio_program.opening_theme	mso:music.composition
mso:royalty.order_of_chivalry	mso:royalty.order_of_chivalry.date_last_awarded	mso:type.datetime
mso:tv.segment_song_relationship	mso:tv.segment_song_relationship.song	mso:music.composition
mso:education.test_score	mso:education.test_score.year	mso:type.datetime
mso:transportation.port	mso:transportation.port.total_berth_length	mso:type.decimal
mso:medicine.drug	mso:medicine.drug.drugbank	mso:type.string
mso:travel.transportation	mso:travel.transportation.travel_destination	mso:travel.destination
mso:common.license	mso:common.license.boilerplate_text	mso:type.text
mso:commerce.range_hood	productsearch:commerce.range_hood.positioning	mso:type.string
mso:tennis.player	mso:tennis.player.handedness	mso:sports.handedness
mso:event.event	mso:event.event.performer	mso:event.agent
mso:interests.collection_category	mso:interests.collection_category.sub_categories	mso:interests.collection_category
mso:commerce.electric_fan	productsearch:commerce.electric_fan.fan_blade_width	mso:type.string
mso:organization.organization	mso:organization.organization.product_of_merger	mso:organization.merger
mso:symbols.heraldic_coronet	mso:symbols.heraldic_coronet.coat_of_arms	mso:symbols.coat_of_arms
mso:olympics.games	mso:olympics.games.opened_by	mso:people.person
mso:sports.league	mso:sports.league.seasons	mso:sports.season
mso:sports.sports_statistics	mso:sports.sports_statistics.value	mso:type.decimal
mso:measurement_unit.magnetic_flux_unit	mso:measurement_unit.magnetic_flux_unit.flux_in_webers	mso:type.decimal
mso:transportation.road_junction	mso:transportation.road_junction.at_or_near	mso:location.location
mso:spaceflight.rocket_function	mso:spaceflight.rocket_function.rockets_supporting_this_function	mso:spaceflight.rocket
mso:martial_arts.martial_artist	mso:martial_arts.martial_artist.martial_art	mso:martial_arts.martial_art
mso:ratings.rated_entity	mso:ratings.rated_entity.view_details	mso:event.view_action
mso:royalty.chivalric_rank_precedence	mso:royalty.chivalric_rank_precedence.rank	mso:royalty.chivalric_rank
mso:projects.project	mso:projects.project.commisssioned_by	mso:event.agent
mso:tv.program	mso:tv.program.theme_song	mso:tv.theme_song
mso:meteorology.tropical_cyclone_category	mso:meteorology.tropical_cyclone_category.max_storm_surge	mso:type.decimal
mso:music.release	mso:music.release.credited_as	mso:type.text
mso:music.artist	mso:music.artist.active_start	mso:type.datetime
mso:opera.character_voice	mso:opera.character_voice.character	mso:opera.character
mso:statistics.population_group	mso:statistics.population_group.female_vulnerable_employment	mso:measurement_unit.dated_percentage
mso:travel.destination	mso:travel.destination.activities	mso:travel.leisure_activity
mso:sports.timeout	mso:sports.timeout.team	mso:sports.team
mso:tv.episode_segment	mso:tv.episode_segment.episode	mso:tv.series_episode
mso:soccer.league_participation	mso:soccer.league_participation.league	mso:soccer.league
